Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2023-03-18,45.05010416666667,142.01,6.190520833333333,12.375520833333333,18.569131944444447,6.041527777777778,6.670208333333334,0.28125,46.321875000000006,0.0046875,,,,0.8510763888888889,1.1979861111111112,28.592812499999997,82.62489583333333,38.11385416666666,160.99645833333332,,0.0,1183.7628124999999,1006.1462499999999,
2023-03-19,26.2175,77.98315972222223,4.4471875,8.772812499999999,13.2190625,4.8481250000000005,6.617152777777778,0.1689236111111111,34.31413194444445,0.03135416666666666,,,,0.8165625,1.0624652777777779,28.083020833333332,81.28958333333334,38.10375,149.60145833333334,,0.0,1261.6235416666666,1006.0048958333333,
2023-03-20,21.481979166666665,177.46135416666667,6.515000000000001,8.756874999999999,15.271145833333334,4.3034375,6.554583333333333,0.158125,26.645104166666666,0.048125,,,,0.7779861111111112,0.8629166666666667,27.979895833333334,80.04427083333333,38.22479166666667,179.550625,,0.0,932.6860416666667,1005.7284375,
2023-03-21,23.398750000000003,59.44593750000001,6.943437499999999,14.210625,21.155104166666668,4.004479166666667,6.421770833333333,0.22791666666666666,25.08027777777778,0.019270833333333334,,,,0.8140972222222222,1.0960069444444445,27.61892361111111,85.49229166666667,37.938125,143.64166666666668,,0.0,1225.2146875,1006.2373958333333,
2023-03-22,14.254791666666668,44.68763888888889,12.1028125,8.230104166666667,20.332708333333333,3.906458333333333,6.347048611111112,0.1959375,23.348125,0.006041666666666667,,,,0.8453472222222222,1.0821180555555554,28.03420138888889,80.72836805555555,38.090069444444445,156.54184027777777,,0.0,1140.2697727272725,1007.1018055555555,
2023-03-23,12.302604166666667,46.81645833333334,9.286701388888888,7.0368055555555555,16.323819444444442,3.9716666666666662,6.281215277777778,0.17121527777777779,20.317847222222223,0.003645833333333333,,,,0.7274305555555555,0.9527777777777778,27.88784722222222,81.296875,38.045347222222226,155.6901736111111,,0.0,66.06142857142856,1007.3965277777778,
2023-03-24,10.569166666666666,45.18086805555555,8.009166666666667,6.730868055555555,14.730729166666668,3.7706944444444446,6.1705902777777775,0.14996527777777777,19.04822916666667,0.0153125,,,,0.8152083333333334,1.073923611111111,28.019479166666667,82.30149305555555,37.92190972222222,151.78840277777778,,0.0,5.3665,1007.4388541666667,
2023-03-25,14.217395833333333,60.20086805555555,3.953506944444444,7.428194444444444,11.380555555555555,3.293784722222222,6.078993055555556,0.15562499999999999,42.91184027777778,0.011145833333333332,,,,0.861231884057971,1.0359375,27.45045138888889,80.0690625,37.06913194444444,156.05777777777777,,0.0,2.7965833333333334,1008.4725,
2023-03-26,15.985104166666666,64.87430555555555,2.620347222222222,7.66329861111111,10.283784722222222,2.8560069444444447,6.015555555555555,0.16291666666666665,43.06145833333333,0.01625,,,,0.7621527777777777,0.9387847222222222,26.95545138888889,81.24395833333334,34.872083333333336,149.30798611111112,,0.0,1.8340625,1008.3110416666667,
2023-03-27,19.853854166666668,73.92104166666667,3.5279861111111113,7.270277777777778,10.797916666666667,3.3518402777777774,5.997604166666666,0.17802083333333332,42.089131944444446,0.024583333333333332,,,,0.7774305555555555,1.094652777777778,27.49972222222222,83.06079861111111,37.507777777777775,157.91288194444445,,0.0,0.06,1007.7101736111111,
2023-03-28,23.130520833333332,98.3879861111111,3.6702430555555554,7.604409722222222,11.274722222222223,3.5420833333333337,6.135555555555555,0.19538194444444443,39.791666666666664,0.055312499999999994,,,,1.0012152777777779,1.13625,27.696631944444444,82.29225694444445,38.07451388888889,148.72899305555555,,0.0,12.875499999999999,1006.9664930555556,
2023-03-29,23.0371875,94.10204861111112,3.561666666666667,6.905590277777779,10.467743055555555,3.0477430555555554,6.102083333333333,0.18763888888888888,37.23916666666667,0.01885416666666667,,,,0.8809722222222223,1.0518750000000001,27.490277777777777,83.3875,37.34795138888889,136.18440972222223,,0.0,4.647962962962963,1007.4066666666668,
2023-03-30,16.782395833333336,65.67423611111111,2.830208333333333,7.209965277777777,10.041666666666666,3.0274305555555556,6.2068055555555555,0.15961805555555553,31.50559027777778,0.005,,,,1.019097222222222,1.0701041666666666,28.53621527777778,81.27979166666667,36.84090277777778,141.63625,,0.0,667.7825438596491,1007.4847222222223,
2023-03-31,14.085104166666667,64.14888888888889,2.9135416666666667,6.6258333333333335,9.538298611111111,3.3155555555555556,6.2342361111111115,0.13572916666666665,26.63416666666667,0.0067708333333333336,,,,0.9509374999999999,1.0893055555555555,30.562187499999997,82.84645833333333,37.19135416666666,140.10270833333334,,0.0,1266.29,1007.8053125,
2023-04-01,12.826630434782608,76.11358695652174,3.612673611111111,6.433402777777778,10.044270833333334,3.0102430555555557,6.1846875,0.1612847222222222,35.35017361111111,0.024270833333333335,,,,0.9176736111111111,0.903888888888889,29.586979166666666,82.30611111111111,29.73378472222222,167.06538194444445,,0.0,1266.29,1008.3077083333334,
2023-04-02,14.277291666666665,63.92149305555555,3.2447569444444446,7.004548611111112,10.250694444444445,2.768715277777778,6.133923611111111,0.18302083333333333,37.04569444444444,0.009479166666666667,,,,0.6869097222222221,0.9710069444444445,28.838819444444443,81.12538194444444,35.44888888888889,165.56930555555556,,0.0,1266.29,1008.0225694444445,
2023-04-03,12.992916666666666,60.9721875,2.8718055555555555,6.339479166666667,9.21079861111111,2.7539930555555556,6.120104166666667,0.15930555555555556,35.52545138888889,0.012708333333333327,,,,0.679927536231884,1.1725724637681159,29.031805555555554,84.21552083333334,34.602916666666665,147.3046875,,0.0,1266.29,1007.6462152777777,
2023-04-04,16.39875,58.81107638888889,3.6826388888888886,6.679861111111111,10.361284722222221,2.9819791666666666,6.049097222222223,0.17350694444444445,37.02569444444445,0.007083333333333333,,,,0.7243055555555555,1.0297569444444445,28.971979166666667,85.79510416666666,36.22600694444444,150.8038888888889,,0.0,1266.29,1008.0722916666667,
2023-04-05,18.635416666666668,68.905625,3.8100694444444443,7.396631944444445,11.206874999999998,2.8728819444444444,6.0789583333333335,0.1975347222222222,34.666493055555556,0.007083333333333333,,,,0.835,0.9354166666666667,28.675486111111113,85.36447916666667,37.89326388888889,148.77819444444444,,0.0,1266.29,1007.8200347222222,
2023-04-06,28.225624999999997,105.16031249999999,4.190763888888889,10.988611111111112,15.178923611111111,2.722638888888889,6.093541666666667,0.27958333333333335,55.100034722222226,0.027604166666666662,,,,0.7667391304347827,0.8878623188405798,28.658819444444447,78.72173611111111,37.08409722222222,142.67527777777778,,0.0,1266.29,1007.6272916666667,
2023-04-07,38.30104166666667,140.53104166666665,2.921736111111111,16.12017361111111,19.040555555555557,2.894305555555556,6.264479166666667,0.36645833333333333,61.266979166666665,0.03274305555555556,,,,0.7638888888888888,0.9748263888888888,30.045937499999997,74.84072916666666,37.903645833333336,142.67854166666666,,0.0,1266.29,1008.1237500000001,
2023-04-08,46.669270833333336,127.29381944444445,3.300104166666667,23.44920138888889,26.748506944444443,3.452743055555556,6.193715277777778,0.4969444444444444,82.32815217391304,0.025243055555555557,,,,0.7510416666666666,0.9753819444444445,30.55434027777778,69.98003472222221,37.87496527777778,142.50385416666666,,0.0,1266.29,1009.6023263888889,
2023-04-09,42.383125,106.68767361111111,2.4713194444444446,13.945243055555556,16.418298611111112,3.474340277777778,6.254305555555555,0.40715277777777775,75.75784722222222,0.012291666666666664,,,,0.7054513888888888,0.8896875,30.370729166666667,72.56409722222223,37.94670138888889,156.53840277777778,,0.0,1266.29,1009.9584027777778,
2023-04-10,39.549479166666664,86.88638888888889,2.864656862745098,12.220392156862745,15.082892156862746,3.2960294117647058,6.160833333333334,0.33499999999999996,25.11287037037037,0.005688405797101443,,,,0.7925,1.1821739130434783,28.0925,91.47694444444444,38.23027777777778,177.25666666666666,,0.0,1266.29,1008.8097222222223,
2023-04-11,35.87489583333333,117.43377450980392,3.015625,15.403541666666666,18.419625,3.3782083333333333,6.210277777777778,0.361,90.89188888888889,0.005416666666666667,,,,0.6898263888888888,1.1452430555555557,32.57205555555556,63.401722222222226,37.65877777777778,120.41677777777777,,0.0,1266.29,1008.8432777777778,
2023-04-12,34.4875,106.78311594202899,3.282465277777778,17.177604166666665,20.460520833333334,3.2382291666666667,6.113854166666666,0.36246527777777776,70.43069444444444,0.0128125,,,,0.7937847222222222,1.195486111111111,31.466250000000002,70.39100694444444,37.831319444444446,138.03385416666666,,0.0,1266.29,1008.1465625000001,
